insert_time;insert_comparations;insert_modifications;search_time;search_comparations;search_modifications;delete_time;delete_comparations;delete_modifications
5,382848299;312262507;378075;0,055631851;7855411;0;0,053608428;8488249;988853;
4,822385803;312129492;378057;0,060368582;7373401;0;0,056445493;7915749;980246;
4,974679123;312418489;378075;0,056844852;7980673;0;0,057881725;8508326;990250;
3,192201804;311988854;378041;0,049227758;7578945;0;0,056623961;8086570;993510;
5,32845695;312748072;378077;0,061036522;8166684;0;0,055975916;8401254;1000939;
4,799305729;312425781;378043;0,057057259;7997312;0;0,069603009;8185130;995219;
5,268677021;312328257;378067;0,063352516;7693166;0;0,055003408;7972703;986755;
5,06338704;312718718;378097;0,056388149;7920194;0;0,069198677;8518093;992996;
4,834760983;312282859;378071;0,057939069;7635507;0;0,054723125;8284566;991679;
5,350389266;312294436;378057;0,06006577;7955146;0;0,053587364;8569070;990932;
