insert_time;insert_comparations;insert_modifications;search_time;search_comparations;search_modifications;delete_time;delete_comparations;delete_modifications
0,324072245;224489;58523;0,079755541;287390;0;0,062654323;316556;58765;
0,068556573;224489;58523;0,053206406;287390;0;0,05797581;316587;58791;
0,052321429;224489;58523;0,052396924;287390;0;0,06143352;316587;58791;
0,039131288;224489;58523;0,039290788;287390;0;0,027878975;316587;58791;
0,013910604;224489;58523;0,030128247;287390;0;0,019782805;316587;58791;
0,023822794;224489;58523;0,014559422;287390;0;0,020555712;316587;58791;
0,015511039;224489;58523;0,00753998;287390;0;0,015373789;316587;58791;
0,042793612;224489;58523;0,051815274;287390;0;0,023151757;316587;58791;
0,030022529;224489;58523;0,023327457;287390;0;0,029775206;316587;58791;
0,039238614;224489;58523;0,034628894;287390;0;0,033742178;316587;58791;
