insert_time;insert_comparations;insert_modifications;search_time;search_comparations;search_modifications;delete_time;delete_comparations;delete_modifications
0,402597772;204566;16189;0,101869161;284981;0;0,079614145;264027;14593;
0,065301568;204566;16189;0,029942225;284981;0;0,041638976;264027;14593;
0,039070079;204566;16189;0,033206283;284981;0;0,029655496;264027;14593;
0,046068572;204566;16189;0,038957155;284981;0;0,037750177;264027;14593;
0,017265866;204566;16189;0,027380906;284981;0;0,019206425;264027;14593;
0,029564217;204566;16189;0,018030088;284981;0;0,009325888;264027;14593;
0,025885021;204566;16189;0,01846281;284981;0;0,017574202;264027;14593;
0,030039828;204566;16189;0,027592914;284981;0;0,027403193;264027;14593;
0,030599405;204566;16189;0,025439944;284981;0;0,030128088;264027;14593;
0,010620926;204566;16189;0,019169218;284981;0;0,026732162;264027;14593;
