k;1;2;3;4;5;6;7;8;9;10;
3;5.2888120000000014E-5;2.6009579999999998E-5;1.0921689999999997E-5;
4;2.076375E-5;3.239935999999999E-5;4.768905E-5;3.131681E-5;
5;4.561776E-5;5.515843999999998E-5;4.784414999999998E-5;4.173241000000001E-5;4.8903320000000005E-5;
6;4.287663100000001E-4;1.6162802000000011E-4;3.792337999999999E-4;3.976512899999997E-4;3.8287928000000016E-4;3.0246312999999996E-4;
7;4.3473168000000004E-4;7.2976361E-4;8.340769399999999E-4;9.7175524E-4;0.00152442243;0.0012720005699999998;0.0012466463899999999;
8;0.0018061890899999996;0.00302812199;0.00358085645;0.0041640184;0.004619894269999999;0.004987586240000001;0.005473459390000002;0.005710456749999999;
9;0.007847789740000001;0.012658016340000001;0.01639392678;0.019150255790000004;0.02177278911;0.023305798480000008;0.024432136720000004;0.02604239947999999;0.027591473909999997;
10;0.04067051196;0.06209415238000003;0.08155295990000003;0.09312268693000003;0.10043924023999998;0.10942248472999999;0.11354232768999997;0.11966808958000003;0.12353958048999997;0.12902746078000002;
