k;1;2;3;4;5;6;7;8;9;10;
3;5.099999999999993;7.000000000000002;7.790000000000008;
4;10.119999999999992;13.560000000000016;15.360000000000019;15.900000000000013;
5;20.38000000000001;27.11;30.40999999999998;31.49;31.860000000000014;
6;40.98000000000001;53.51999999999999;60.29000000000001;62.89000000000003;63.59000000000007;63.870000000000054;
7;80.72000000000003;107.30999999999997;120.66999999999997;125.47000000000003;127.20000000000003;127.82000000000006;127.94000000000007;
8;161.82;215.23999999999995;240.36999999999992;250.46999999999997;254.3200000000001;255.41000000000022;255.79000000000022;255.8800000000002;
9;323.83000000000015;429.7399999999999;480.79;501.48999999999995;508.54999999999984;510.5300000000004;511.56000000000057;511.81000000000046;511.9300000000004;
10;648.37;858.34;961.2600000000002;1003.2099999999996;1016.6199999999994;1021.3500000000014;1022.9500000000014;1023.710000000001;1023.9300000000007;1023.9200000000008;
