n;select - comparations;select - swaps;select - time;select - comparations/n;select - swaps/n;insert - comparations;insert - swaps;insert - time;insert - comparations/n;insert - swaps/n;heap - comparations;heap - swaps;heap - time;heap - comparations/n;heap - swaps/n;quick - comparations;quick - swaps;quick - time;quick - comparations/n;quick - swaps/n;mquick - comparations;mquick - swaps;mquick - time;mquick - comparations/n;mquick - swaps/n
9000;40495500;8988;89415210;4499;0;20219003;20219003;41142862;2246;2246;229619;110306;939587;25;12;186187;27676;817191;20;3;144208;56215;747602;16;6
9100;41400450;9086;91458552;4549;0;20705124;20705124;42089444;2275;2275;232566;111730;952058;25;12;192800;27837;826879;21;3;147119;56715;751058;16;6
9200;42315400;9187;93331319;4599;0;21166028;21166028;43273346;2300;2300;235390;113093;991051;25;12;188570;28391;832184;20;3;146366;57785;762019;15;6
9300;43240350;9285;95401806;4649;0;21669036;21669036;44871581;2330;2330;238273;114482;980869;25;12;192222;28778;861488;20;3;146912;58526;779275;15;6
9400;44175300;9386;97415513;4699;0;22005341;22005341;44925077;2340;2340;241092;115844;986660;25;12;195307;29009;853107;20;3;149588;59202;783832;15;6
9500;45120250;9484;99679206;4749;0;22542802;22542802;47858468;2372;2372;243926;117211;995718;25;12;198467;29390;873317;20;3;153326;59544;801578;16;6
9600;46075200;9582;101593699;4799;0;23044015;23044015;46997830;2400;2400;246818;118606;1005188;25;12;202436;29616;867591;21;3;155915;60151;803317;16;6
9700;47040150;9687;103787802;4849;0;23464334;23464334;48543842;2419;2419;249703;120000;1027971;25;12;201212;30053;883745;20;3;156337;61016;814300;16;6
9800;48015100;9789;105892315;4899;0;23996050;23996050;49109746;2448;2448;252633;121413;1036925;25;12;203317;30480;895777;20;3;157989;61503;814354;16;6
9900;49000050;9885;108330039;4949;0;24534708;24534708;50376112;2478;2478;255525;122810;1044659;25;12;207557;30735;898849;20;3;158769;62141;831515;16;6
10000;49995000;9987;110291400;4999;0;24987101;24987101;50698898;2498;2498;258391;124194;1052310;25;12;206882;31109;918472;20;3;159761;62819;835435;15;6
