n;select - comparations;select - swaps;select - time;select - comparations/n;select - swaps/n;insert - comparations;insert - swaps;insert - time;insert - comparations/n;insert - swaps/n;heap - comparations;heap - swaps;heap - time;heap - comparations/n;heap - swaps/n;quick - comparations;quick - swaps;quick - time;quick - comparations/n;quick - swaps/n;mquick - comparations;mquick - swaps;mquick - time;mquick - comparations/n;mquick - swaps/n
7600;28876200;7588;65068428;3799;0;14539563;14539563;23384634;1913;1913;190218;91309;643072;25;12;156389;22784;585142;20;2;118676;46842;553837;15;6
7700;29641150;7687;68251018;3849;0;14664652;14664652;23968314;1904;1904;192940;92620;689005;25;12;150164;23565;603574;19;3;118433;48147;593920;15;6
7800;30416100;7794;68927443;3899;0;15236235;15236235;24777858;1953;1953;195854;94027;668232;25;12;173159;23254;567588;22;2;124764;48183;543012;15;6
7900;31201050;7887;70496794;3949;0;15543990;15543990;25033858;1967;1967;198288;95194;681106;25;12;160375;23965;570807;20;3;124176;48661;550326;15;6
8000;31996000;7978;72608867;3999;0;16068581;16068581;26048495;2008;2008;201222;96611;685787;25;12;159561;24386;582509;19;3;122162;50061;558811;15;6
8100;32800950;8089;73749017;4049;0;16007114;16007114;25864175;1976;1976;203592;97746;717678;25;12;160884;24693;586606;19;3;128877;50395;569051;15;6
8200;33615900;8192;75824809;4099;0;16834043;16834043;27129253;2052;2052;206874;99337;702756;25;12;188126;24422;598308;22;2;132708;50730;566710;16;6
8300;34440850;8294;77689073;4149;0;17234717;17234717;27690112;2076;2076;209846;100773;725870;25;12;157543;25780;611474;18;3;129100;52215;594797;15;6
8400;35275800;8391;79409685;4199;0;17780330;17780330;28846354;2116;2116;212600;102100;787895;25;12;172084;25825;673206;20;3;131477;52505;620544;15;6
8500;36120750;8495;81021753;4249;0;18157578;18157578;29155309;2136;2136;215192;103346;740497;25;12;184552;25553;614985;21;3;137170;52510;600941;16;6
8600;36975700;8593;83632950;4299;0;18329536;18329536;30482119;2131;2131;218096;104748;760392;25;12;177600;26129;624932;20;3;137135;53323;631076;15;6
8700;37840650;8686;85744437;4349;0;19148909;19148909;31498511;2201;2201;221190;106245;774436;25;12;174056;26848;693394;20;3;135480;54406;653312;15;6
8800;38715600;8789;87014782;4399;0;19279418;19279418;32056446;2190;2190;223732;107466;772680;25;12;182603;26871;643950;20;3;143161;54942;604745;16;6
8900;39600550;8892;89491397;4449;0;19794519;19794519;32218530;2224;2224;226970;109035;772973;25;12;180753;27532;653896;20;3;141467;55313;623470;15;6
9000;40495500;8991;91040269;4499;0;20300862;20300862;33408709;2255;2255;229984;110492;797549;25;12;186746;27769;669403;20;3;149393;55541;646582;16;6
9100;41400450;9092;93295408;4549;0;20499059;20499059;33235799;2252;2252;232434;111667;789942;25;12;187679;28028;681398;20;3;151180;56171;653019;16;6
9200;42315400;9189;95597066;4599;0;20866572;20866572;33682556;2268;2268;235268;113034;807204;25;12;179289;28587;692809;19;3;148486;57724;700708;16;6
9300;43240350;9290;97445824;4649;0;21792683;21792683;35407263;2343;2343;238370;114535;806619;25;12;191760;28898;693979;20;3;144395;58122;669403;15;6
9400;44175300;9389;101463412;4699;0;22135228;22135228;36720030;2354;2354;241220;115910;845824;25;12;190391;29137;736109;20;3;147352;58621;673499;15;6
9500;45120250;9492;101980385;4749;0;22432829;22432829;36559701;2361;2361;244206;117353;832950;25;12;195431;29774;729966;20;3;148367;59492;679935;15;6
9600;46075200;9589;105543903;4799;0;23202126;23202126;38493012;2416;2416;246892;118646;851675;25;12;189538;30117;715044;19;3;150288;60074;703048;15;6
9700;47040150;9690;106353155;4849;0;23502839;23502839;38247252;2422;2422;249678;119989;867474;25;12;200412;30132;736987;20;3;153042;61331;678180;15;6
9800;48015100;9795;109068508;4899;0;23563870;23563870;38359893;2404;2404;252520;121360;856648;25;12;226644;30049;732599;23;3;164984;61239;681399;16;6
9900;49000050;9891;109497711;4949;0;24359034;24359034;39842644;2460;2460;255348;122724;872447;25;12;213167;30339;717385;21;3;156710;62695;719432;15;6
10000;49995000;9988;113480483;4999;0;24947051;24947051;40673546;2494;2494;258418;124209;877129;25;12;203962;31272;743131;20;3;162535;63516;711533;16;6
