n;select - comparations;select - swaps;select - time;select - comparations/n;select - swaps/n;insert - comparations;insert - swaps;insert - time;insert - comparations/n;insert - swaps/n;heap - comparations;heap - swaps;heap - time;heap - comparations/n;heap - swaps/n;quick - comparations;quick - swaps;quick - time;quick - comparations/n;quick - swaps/n;mquick - comparations;mquick - swaps;mquick - time;mquick - comparations/n;mquick - swaps/n
100;4950;93;253367;49;0;2626;2626;144823;26;26;1276;588;228498;12;5;969;165;53541;9;1;831;551;48566;8;5
200;19900;194;778240;99;0;10203;10203;490057;51;51;2902;1351;51785;14;6;2553;366;131950;12;1;1869;1032;97133;9;5
300;44850;296;1785562;149;0;25005;25005;1621430;83;83;4758;2229;74021;15;7;3621;604;234935;12;2;2829;1551;143945;9;5
400;79800;394;800768;199;0;39327;39327;3284990;98;98;6598;3099;103570;16;7;5553;796;62610;13;1;4044;2102;208310;10;5
500;124750;495;409015;249;0;63302;63302;439150;126;126;8616;4058;120247;17;8;7044;1067;57636;14;2;5566;2563;332069;11;5
600;179700;595;289353;299;0;89258;89258;1978660;148;148;10604;5002;130487;17;8;9027;1253;835876;15;2;6517;3172;91867;10;5
700;244650;692;363081;349;0;125321;125321;1599487;179;179;12726;6013;85138;18;8;10303;1596;93038;14;2;8610;3857;81628;12;5
800;319600;794;1213878;399;0;166715;166715;1226166;208;208;14870;7035;99181;18;8;12212;1860;99182;15;2;9420;4398;571392;11;5
900;404550;891;930962;449;0;199598;199598;4346146;221;221;17016;8058;118492;18;8;13669;2041;69632;15;2;10610;5015;101815;11;5
1000;499500;993;1930678;499;0;240278;240278;1445010;240;240;19092;9046;131950;19;9;15468;2337;66707;15;2;11616;5498;105326;11;5
1100;604450;1091;2511724;549;0;306186;306186;495323;278;278;21400;10150;143653;19;9;17182;2651;72265;15;2;13773;5979;122880;12;5
1200;719400;1197;1717101;599;0;352104;352104;580754;293;293;23660;11230;167058;19;9;19612;2863;77824;16;2;14793;6813;131072;12;5
1300;844350;1290;14051904;649;0;428383;428383;1682577;329;329;25958;12329;172910;19;9;21725;3192;102693;16;2;15949;7349;666769;12;5
1400;979300;1394;3511147;699;0;485451;485451;782043;346;346;28310;13455;182272;20;9;24145;3358;88064;17;2;17236;7933;135168;12;5
1500;1124250;1491;3992135;749;0;559702;559702;1344950;373;373;30520;14510;195730;20;9;26121;3777;99767;17;2;21659;8192;220598;14;5
1600;1279200;1597;3110910;799;0;649048;649048;1049746;405;405;32948;15674;226450;20;9;26021;4067;102400;16;2;20864;8896;4847320;13;5
1700;1444150;1693;4671778;849;0;733962;733962;1176429;431;431;35240;16770;229083;20;9;30709;4201;111177;18;2;22345;9572;108544;13;5
1800;1619100;1793;4651883;899;0;817792;817792;1605046;454;454;37724;17962;293741;20;9;30090;4633;136923;16;2;23468;10143;105033;13;5
1900;1804050;1895;4722685;949;0;905584;905584;1448520;476;476;39932;19016;261266;21;10;31049;4885;125513;16;2;23698;10985;107666;12;5
2000;1999000;1992;6551840;999;0;985371;985371;1892643;492;492;42218;20109;272384;21;10;34290;5098;131072;17;2;25964;11606;113810;12;5
2100;2203950;2092;5167979;1049;0;1084363;1084363;1771811;516;516;44662;21281;4214489;21;10;36037;5422;138971;17;2;27709;12029;119076;13;5
2200;2418900;2191;6020531;1099;0;1194844;1194844;14327506;543;543;47088;22444;299593;21;10;38265;5657;145116;17;2;29947;12804;127854;13;5
2300;2643850;2290;6417258;1149;0;1301523;1301523;9581708;565;565;49710;23705;331483;21;10;39390;6154;198070;17;2;30579;13498;368640;13;5
2400;2878800;2391;7658052;1199;0;1466352;1466352;7659515;610;610;52228;24914;325047;21;10;44883;6347;169399;18;2;32443;14139;135168;13;5
2500;3123750;2494;14630902;1249;0;1566725;1566725;2537178;626;626;54638;26069;338212;21;10;46306;6672;170569;18;2;36065;14610;145700;14;5
2600;3378700;2594;8356419;1299;0;1690181;1690181;36293755;650;650;57082;27241;523995;21;10;44816;6904;174080;17;2;34504;15291;188415;13;5
2700;3643650;2693;8685270;1349;0;1804328;1804328;3330631;668;668;59516;28408;655360;22;10;47234;7231;329728;17;2;37800;15773;200119;14;5
2800;3918600;2789;14625344;1399;0;1961740;1961740;4030169;700;700;62120;29660;456996;22;10;53836;7513;202752;19;2;39499;16336;191927;14;5
2900;4203550;2892;19204961;1449;0;2133817;2133817;4313086;735;735;64746;30923;503515;22;10;51950;7830;204800;17;2;39427;17121;189294;13;5
3000;4498500;2996;15006271;1499;0;2247871;2247871;4072299;749;749;67138;32069;412818;22;10;53182;8108;227913;17;2;40192;17428;190756;13;5
3100;4803450;3091;15480237;1549;0;2451016;2451016;9814594;790;790;69860;33380;1346121;22;10;58494;8303;210651;18;2;42943;18116;339383;13;5
3200;5118400;3191;16556314;1599;0;2503746;2503746;7306966;782;782;72200;34500;509660;22;10;56454;8763;219428;17;2;45109;18858;210066;14;5
3300;5443350;3295;33127255;1649;0;2692862;2692862;5096884;816;816;74740;35720;944420;22;10;64122;8923;226157;19;2;44928;19570;214455;13;5
3400;5778300;3392;14520018;1699;0;2898057;2898057;5020523;852;852;77238;36919;512585;22;10;62558;9432;1136054;18;2;47583;20304;321536;13;5
3500;6123250;3494;25018352;1749;0;3058553;3058553;4977807;873;873;79822;38161;747812;22;10;70273;9482;328557;20;2;49403;20952;268581;14;5
3600;6478200;3593;15158116;1799;0;3300174;3300174;5386529;916;916;82528;39464;311588;22;10;68303;9847;250734;18;2;52434;21462;260681;14;5
3700;6843150;3689;15332781;1849;0;3390446;3390446;5529304;916;916;84736;40518;322706;22;10;66934;10357;253659;18;2;55408;21929;247516;14;5
3800;7218100;3793;16194988;1899;0;3623016;3623016;5797299;953;953;87632;41916;325631;23;11;74697;10639;259511;19;2;54574;22697;245759;14;5
3900;7603050;3893;17177735;1949;0;3781860;3781860;6259854;969;969;90084;43092;343478;23;11;70117;10883;261559;17;2;55332;23332;257463;14;5
4000;7998000;3991;20783091;1999;0;4031924;4031924;6422232;1007;1007;92596;44298;346404;23;11;77458;11169;276187;19;2;59559;23795;263607;14;5
4100;8402950;4091;22309434;2049;0;4198928;4198928;6784142;1024;1024;95124;45512;361325;23;11;80172;11445;410185;19;2;62008;24349;286135;15;5
4200;8817900;4193;19987882;2099;0;4464452;4464452;7421362;1062;1062;97920;46860;572270;23;11;83291;11747;567880;19;2;60707;25366;1384155;14;6
4300;9242850;4293;24264103;2149;0;4726480;4726480;8675322;1099;1099;100540;48120;385023;23;11;85313;11903;292571;19;2;63190;25938;281161;14;6
4400;9677800;4391;27341660;2199;0;4792370;4792370;7686139;1089;1089;103176;49388;385901;23;11;83820;12475;332361;19;2;62557;26607;295204;14;6
4500;10122750;4491;30427115;2249;0;5025812;5025812;9948593;1116;1116;105788;50644;1861045;23;11;84642;12883;318317;18;2;67636;26856;306907;15;5
4600;10577700;4595;54920595;2299;0;5312820;5312820;16230096;1154;1154;108540;51970;1167359;23;11;91018;12993;16646718;19;2;68268;27750;307492;14;6
4700;11042650;4690;40133460;2349;0;5369609;5369609;18069785;1142;1142;110898;53099;768585;23;11;88559;13600;330021;18;2;69309;28034;317440;14;5
4800;11517600;4792;41423114;2399;0;5650749;5650749;12039306;1177;1177;113842;54521;674084;23;11;88622;13828;356351;18;2;69085;28976;327388;14;6
4900;12002550;4896;37205699;2449;0;6053121;6053121;13244407;1235;1235;116590;55845;470162;23;11;96937;14076;347282;19;2;70952;29834;345234;14;6
5000;12497500;4993;29773804;2499;0;6174286;6174286;10064744;1234;1234;119180;57090;549449;23;11;93932;14503;393801;18;2;71559;30354;389705;14;6
5100;13002450;5087;29489425;2549;0;6544722;6544722;10519398;1283;1283;121836;58368;461678;23;11;106255;14571;361911;20;2;81228;30906;346405;15;6
5200;13517400;5192;30575157;2599;0;6639565;6639565;15838929;1276;1276;124474;59637;501759;23;11;107253;14942;369810;20;2;76633;31492;384146;14;6
5300;14042350;5295;33893500;2649;0;6953834;6953834;11677395;1312;1312;127296;60998;442661;24;11;105814;15347;375368;19;2;79438;32285;353134;14;6
5400;14577300;5390;33197765;2699;0;7312899;7312899;11893899;1354;1354;129990;62295;507904;24;11;111676;15434;389705;20;2;82713;32514;370688;15;6
5500;15122250;5492;33863657;2749;0;7517109;7517109;12267512;1366;1366;132562;63531;473673;24;11;106813;15988;395556;19;2;81591;33322;371858;14;6
5600;15677200;5588;35339972;2799;0;7894023;7894023;12692911;1409;1409;135310;64855;468992;24;11;102123;16666;394678;18;2;85003;34143;387364;15;6
5700;16242150;5683;36919857;2849;0;8077378;8077378;13087004;1417;1417;138044;66172;590993;24;11;110589;16637;407259;19;2;83645;34080;390876;14;5
5800;16817100;5791;37871591;2899;0;8457414;8457414;13924050;1458;1458;140788;67494;559396;24;11;108852;17157;447634;18;2;85945;35519;397312;14;6
5900;17402050;5891;38892665;2949;0;8808914;8808914;14234469;1493;1493;143688;68894;499127;24;11;115721;17465;418670;19;2;87639;36283;401408;14;6
6000;17997000;5992;40356983;2999;0;9016671;9016671;14611885;1502;1502;146250;70125;504978;24;11;117872;17666;439734;19;2;89973;36053;409307;14;6
6100;18601950;6094;41708370;3049;0;9345191;9345191;15068004;1531;1531;149130;71515;526921;24;11;119721;17900;442953;19;2;88559;37233;429495;14;6
6200;19216900;6191;43412598;3099;0;9756044;9756044;15688840;1573;1573;151892;72846;516096;24;11;129601;18213;444709;20;2;98401;37912;434468;15;6
6300;19841850;6294;45448893;3149;0;9936007;9936007;16045192;1577;1577;154462;74081;537453;24;11;127691;18518;443830;20;2;98497;38298;464603;15;6
6400;20476800;6393;46432225;3199;0;10159712;10159712;16354147;1587;1587;157360;75480;546230;24;11;129364;18859;464604;20;2;100381;39412;448512;15;6
6500;21121750;6492;48007429;3249;0;10417501;10417501;16876094;1602;1602;159978;76739;633417;24;11;127613;19254;565833;19;2;101044;40281;466359;15;6
6600;21776700;6587;49322244;3299;0;10839000;10839000;17480546;1642;1642;162812;78106;558811;24;11;126941;19649;469869;19;2;99615;40220;468699;15;6
6700;22441650;6696;50402417;3349;0;11322747;11322747;18377570;1689;1689;165590;79445;564369;24;11;153006;19664;494738;22;2;108336;40893;460214;16;6
6800;23116600;6792;51719572;3399;0;11375595;11375595;18738017;1672;1672;168022;80611;570514;24;11;139105;20362;491520;20;2;102278;42166;470162;15;6
6900;23801550;6895;53456568;3449;0;11890164;11890164;19020348;1723;1723;171076;82088;586605;24;11;141654;20451;492398;20;2;106089;42184;477769;15;6
7000;24496500;6993;54855644;3499;0;12287354;12287354;19715498;1755;1755;173608;83304;596845;24;11;138642;20963;516681;19;2;103792;43307;497079;14;6
7100;25201450;7095;57620149;3549;0;12568678;12568678;20883150;1770;1770;176348;84624;597723;24;11;147894;21055;505563;20;2;107743;43546;487423;15;6
7200;25916400;7186;58385808;3599;0;12843065;12843065;21015099;1783;1783;179134;85967;613522;24;11;147967;21544;523117;20;2;109794;44049;518728;15;6
7300;26641350;7290;60036203;3649;0;13465027;13465027;21915341;1844;1844;182134;87417;641901;24;11;142948;22184;526335;19;3;109866;44870;506441;15;6
7400;27376300;7384;61840782;3699;0;13744405;13744405;22167245;1857;1857;184746;88673;631661;24;11;148893;22252;533064;20;3;111710;45697;524580;15;6
7500;28121250;7491;63122244;3749;0;13911738;13911738;22468300;1854;1854;187312;89906;639268;24;11;150569;22591;540672;20;3;111693;46333;526336;14;6
