n;select - comparations;select - swaps;select - time;select - comparations/n;select - swaps/n;insert - comparations;insert - swaps;insert - time;insert - comparations/n;insert - swaps/n;heap - comparations;heap - swaps;heap - time;heap - comparations/n;heap - swaps/n;quick - comparations;quick - swaps;quick - time;quick - comparations/n;quick - swaps/n;mquick - comparations;mquick - swaps;mquick - time;mquick - comparations/n;mquick - swaps/n
100;4000;0;24860;40;0;2006;2006;10479;20;20;1000;0;9222;10;0;768;0;10840;7;0;0;0;11947;0;0
200;19000;0;52625;95;0;9649;9649;34494;48;48;2000;1000;12413;10;5;2000;0;20816;10;0;1036;415;10684;5;2
300;44000;0;165944;146;0;22265;22265;73825;74;74;4000;2000;21330;13;6;3208;0;37146;10;0;2301;1000;16515;7;3
400;79000;0;264055;197;0;39761;39761;70978;99;99;6000;3000;37811;15;7;5002;0;26861;12;0;3821;1897;20925;9;4
500;124000;0;283163;248;0;62455;62455;98668;124;124;8000;3996;33295;16;7;6515;996;32889;13;1;5007;2000;29707;10;4
600;179000;0;402404;298;0;89908;89908;141182;149;149;10000;4850;39072;16;8;8199;1000;36534;13;1;6083;2995;33301;10;4
700;244000;0;554826;348;0;122395;122395;192141;174;174;12000;5838;47228;17;8;9905;1000;43482;14;1;7401;3002;38031;10;4
800;319000;0;717944;398;0;160098;160098;252296;200;200;14000;6932;54510;17;8;11617;1000;50290;14;1;8866;4000;44187;11;5
900;404000;0;911343;448;0;202641;202641;318200;225;225;16547;7992;62930;18;8;13393;1991;57426;14;2;10139;4204;49895;11;4
1000;499000;0;1196249;499;0;250069;250069;400998;250;250;18999;8999;71817;18;8;15174;2000;65148;15;2;11436;5000;57075;11;5
1100;604000;1000;1381955;549;0;302856;302856;482327;275;275;21000;10000;79675;19;9;16983;2000;73062;15;1;12912;5808;64107;11;5
1200;719000;1000;1622434;599;0;360004;360004;565632;300;300;23000;11000;86248;19;9;18812;2000;78622;15;1;14303;6006;68694;11;5
1300;844000;1000;1897955;649;0;422831;422831;658837;325;325;25231;12000;93642;19;9;20672;3000;85215;15;2;15759;6988;74639;12;5
1400;979000;1000;2203108;699;0;490558;490558;765851;350;350;28000;13000;102166;20;9;22526;3000;92350;16;2;17143;7174;81202;12;5
1500;1124000;1000;2528524;749;0;563109;563109;878279;375;375;30000;14000;110734;20;9;24392;3000;99819;16;2;18588;8000;87767;12;5
1600;1279000;1000;2878940;799;0;640986;640986;1000085;400;400;32083;15000;118588;20;9;26288;3504;107262;16;2;20060;8707;94585;12;5
1700;1444000;1000;3249858;849;0;723427;723427;1128271;425;425;35000;16000;126960;20;9;28175;4000;114515;16;2;21518;9009;100982;12;5
1800;1619000;1000;3648155;899;0;810440;810440;1264227;450;450;37000;17001;135104;20;9;30057;4000;121939;16;2;22968;9985;107901;12;5
1900;1804000;1000;4060199;949;0;903503;903503;1409992;475;475;39268;18818;143836;20;9;32031;4006;129199;16;2;24506;10197;114528;12;5
2000;1999000;1000;4504165;999;0;1001554;1001554;1562660;500;500;42000;20000;152560;21;10;34047;4989;136916;17;2;25976;11000;121426;12;5
2100;2203000;2000;4964973;1049;0;1104828;1104828;1724390;526;526;44000;21000;160666;20;10;35889;5000;144243;17;2;27502;11758;128362;13;5
2200;2418000;2000;5450105;1099;0;1211227;1211227;1889024;550;550;46996;22000;168916;21;10;37913;5000;151548;17;2;29035;12034;134774;13;5
2300;2643000;2000;5961175;1149;0;1323722;1323722;2064888;575;575;49000;23000;177576;21;10;39943;5681;159205;17;2;30587;12986;141891;13;5
2400;2878000;2000;6493259;1199;0;1443347;1443347;2252880;601;601;51967;24000;186049;21;10;41851;6000;166779;17;2;32103;13356;149074;13;5
2500;3123000;2000;7044492;1249;0;1563942;1563942;2440654;625;625;54000;25927;195078;21;10;43870;6000;174313;17;2;33634;14002;157653;13;5
2600;3378000;2000;7623338;1299;0;1691932;1691932;2639917;650;650;56935;27000;203237;21;10;45851;6123;182293;17;2;35199;14836;162864;13;5
2700;3643000;2000;8217098;1349;0;1823589;1823589;2841990;675;675;59000;28000;211516;21;10;47864;6998;189565;17;2;36701;15082;169803;13;5
2800;3918000;2000;8834832;1399;0;1961638;1961638;3058503;700;700;61930;29000;220503;22;10;49942;7000;197324;17;2;38295;15993;176717;13;5
2900;4203000;2000;9488738;1449;0;2103915;2103915;3283616;725;725;64000;30002;229712;22;10;52044;7010;204832;17;2;39836;16551;184161;13;5
3000;4498000;2000;10145280;1499;0;2252870;2252870;3513585;750;750;66975;31975;238765;22;10;53989;7941;212369;17;2;41389;17025;191241;13;5
3100;4803000;3000;10839459;1549;0;2404360;2404360;3749715;775;775;69000;33000;247120;22;10;56096;8000;220177;18;2;42980;17917;197986;13;5
3200;5118000;3000;11547879;1599;0;2561470;2561470;3995202;800;800;71995;34000;256624;22;10;58151;8000;228195;18;2;44594;18288;205405;13;5
3300;5443000;3000;12297101;1649;0;2724209;2724209;4255151;825;825;74004;35000;265998;22;10;60182;8711;236549;18;2;46087;19000;213314;13;5
3400;5778000;3000;13039859;1699;0;2892116;2892116;4509524;850;850;76998;36158;274226;22;10;62309;9000;243734;18;2;47719;19794;219720;14;5
3500;6123000;3000;13811490;1749;0;3065182;3065182;4781776;875;875;79061;38000;283070;22;10;64176;9000;251178;18;2;49329;20122;226602;14;5
3600;6478000;3000;14615353;1799;0;3243299;3243299;5059119;900;900;82000;39000;291857;22;10;66483;9390;259048;18;2;51048;20976;234083;14;5
3700;6843000;3000;15448097;1849;0;3424430;3424430;5343475;925;925;84305;40000;301148;22;10;68462;9996;267229;18;2;52552;21584;241563;14;5
3800;7218000;3000;16286128;1899;0;3611803;3611803;5632365;950;950;87000;41001;310230;22;10;70485;10000;274272;18;2;54212;22037;248230;14;5
3900;7603000;3000;17159014;1949;0;3805183;3805183;5936188;975;975;89780;42963;319198;23;11;72654;10192;282700;18;2;55786;22925;256566;14;5
4000;7998000;3000;18048036;1999;0;4003464;4003464;6246180;1000;1000;92000;44000;335171;23;11;74726;10983;290249;18;2;57396;23379;263019;14;5
4100;8402000;4000;18961459;2049;0;4205073;4205073;6559125;1025;1025;94983;45000;337201;23;10;76883;11000;298057;18;2;59144;24012;270471;14;5
4200;8817000;4000;19920368;2099;0;4412730;4412730;6887324;1050;1050;97073;46001;347212;23;10;78940;11088;306710;18;2;60647;24817;278190;14;5
4300;9242000;4000;20866447;2149;0;4625518;4625518;7216172;1075;1075;100000;47976;355520;23;11;81317;11903;313748;18;2;62383;25217;285089;14;5
4400;9677000;4000;21849813;2199;0;4842712;4842712;7549790;1100;1100;102939;49000;364692;23;11;83357;12000;322297;18;2;64003;25991;292213;14;5
4500;10122000;4000;22843721;2249;0;5064889;5064889;7899075;1125;1125;105037;50000;373601;23;11;85437;12035;330075;18;2;65660;26669;299998;14;5
4600;10577000;4000;23897691;2299;0;5291063;5291063;8258430;1150;1150;108000;51124;382157;23;11;87531;12830;337737;19;2;67178;27134;307676;14;5
4700;11042000;4000;24929412;2349;0;5523306;5523306;8613164;1175;1175;110938;53000;391884;23;11;89739;12998;345632;19;2;68869;27931;314264;14;5
4800;11517000;4000;26012784;2399;0;5766755;5766755;8992896;1201;1201;113069;54000;400731;23;11;91569;13019;354205;19;2;70627;28505;322213;14;5
