n;select - comparations;select - swaps;select - time;select - comparations/n;select - swaps/n;insert - comparations;insert - swaps;insert - time;insert - comparations/n;insert - swaps/n;heap - comparations;heap - swaps;heap - time;heap - comparations/n;heap - swaps/n;quick - comparations;quick - swaps;quick - time;quick - comparations/n;quick - swaps/n;mquick - comparations;mquick - swaps;mquick - time;mquick - comparations/n;mquick - swaps/n
4900;12002000;4000;27097690;2449;0;6008720;6008720;9366725;1226;1226;116000;55000;410080;23;11;94014;13733;361401;19;2;72217;29072;329399;14;5
5000;12497000;4000;28231305;2499;0;6254612;6254612;9761115;1250;1250;118969;56969;419438;23;11;96169;13997;369891;19;2;73892;29879;336768;14;5
5100;13002000;5000;29363948;2549;0;6504305;6504305;10142923;1275;1275;121193;58000;436127;23;11;98242;14008;377946;19;2;75559;30374;345764;14;5
5200;13517000;5000;30524977;2599;0;6764844;6764844;10548841;1300;1300;124000;59000;437942;23;11;100274;14644;385842;19;2;77087;31027;351472;14;5
5300;14042000;5000;31719143;2649;0;7023998;7023998;10961885;1325;1325;126999;60522;447108;23;11;102764;14991;394323;19;2;79006;31793;359366;14;5
5400;14577000;5000;32923915;2699;0;7293434;7293434;11380731;1350;1350;129517;62000;456862;23;11;104826;15008;402383;19;2;80595;32272;367364;14;5
5500;15122000;5000;34170967;2749;0;7564742;7564742;11805071;1375;1375;132007;63000;465456;24;11;107044;15555;410136;19;2;82186;33000;374613;14;6
5600;15677000;5000;35394727;2799;0;7845331;7845331;12236368;1400;1400;134999;64066;477017;24;11;109023;15981;417479;19;2;83957;33705;381679;14;6
5700;16242000;5000;36685347;2849;0;8125690;8125690;12677098;1425;1425;137883;66000;483746;24;11;111389;16004;425679;19;2;85788;34188;389358;15;5
5800;16817000;5000;37984225;2899;0;8412894;8412894;13129612;1450;1450;140112;67000;494053;24;11;113634;16481;434126;19;2;87374;34959;397369;15;6
5900;17402000;5000;39308012;2949;0;8704215;8704215;13583571;1475;1475;143000;68003;503436;24;11;115657;16974;442890;19;2;89095;35626;404839;15;6
6000;17997000;5000;40644702;2999;0;9004517;9004517;14043777;1500;1500;145993;69993;512746;24;11;118209;17001;450419;19;2;90885;36149;411975;15;6
6100;18601000;6000;42025780;3049;0;9307955;9307955;14521072;1525;1525;148639;71000;522617;24;11;120172;17444;458534;19;2;92537;36905;419934;15;6
6200;19216000;6000;43412560;3099;0;9613167;9613167;14993691;1550;1550;151028;72000;531012;24;11;122431;17953;466798;19;2;94110;37528;427423;15;6
6300;19841000;6000;44815765;3149;0;9925271;9925271;15482250;1575;1575;154000;73936;541500;24;11;124648;18004;474873;19;2;95887;38080;435114;15;6
6400;20476000;6000;46256924;3199;0;10244368;10244368;15976779;1600;1600;156977;75000;550728;24;11;126628;18432;482948;19;2;97568;38879;441933;15;6
6500;21121000;6000;47712500;3249;0;10565632;10565632;16481568;1625;1625;159416;76000;560254;24;11;129079;18931;490673;19;2;99323;39475;450673;15;6
6600;21776000;6000;49189167;3299;0;10893354;10893354;16987805;1650;1650;162011;77811;570862;24;11;131216;19003;499672;19;2;101035;40041;457905;15;6
6700;22441000;6000;50697866;3349;0;11221793;11221793;17514393;1674;1674;165000;79000;578940;24;11;133632;19372;507372;19;2;102686;40815;465886;15;6
6800;23116000;6000;52221101;3399;0;11569084;11569084;18051311;1701;1701;167942;80000;589037;24;11;135649;19920;515712;19;2;104554;41377;473285;15;6
6900;23801000;6000;53789514;3449;0;11909807;11909807;18583218;1726;1726;170308;81599;598328;24;11;138169;20001;524196;20;2;106089;42033;481693;15;6
7000;24496000;6000;55378241;3499;0;12254378;12254378;19131151;1750;1750;173007;83000;607950;24;11;140139;20378;532259;20;2;107905;42729;488918;15;6
7100;25201000;7000;56926208;3549;0;12607734;12607734;19661616;1775;1775;176000;84000;618863;24;11;142479;20927;540226;20;2;109599;43329;495636;15;6
7200;25916000;7000;58555214;3599;0;12965332;12965332;20223326;1800;1800;178922;85455;627470;24;11;144806;21007;549123;20;2;111455;43988;503894;15;6
7300;26641000;7000;60172664;3649;0;13327186;13327186;20783005;1825;1825;181341;87000;635879;24;11;146804;21400;556631;20;2;113170;44712;511557;15;6
7400;27376000;7000;61836839;3699;0;13695083;13695083;21351687;1850;1850;184010;88000;646270;24;11;149092;21918;565056;20;2;114793;45256;520729;15;6
7500;28121000;7000;63557831;3749;0;14067435;14067435;21945263;1875;1875;187000;89353;656684;24;11;151746;21994;574866;20;2;116729;45971;527723;15;6
7600;28876000;7000;65240215;3799;0;14445762;14445762;22521922;1900;1900;189947;91000;665761;24;11;153353;22412;581921;20;2;118198;46638;535831;15;6
7700;29641000;7000;66966225;3849;0;14824215;14824215;23124630;1925;1925;192417;92000;675799;24;11;155744;22905;590406;20;2;119656;47219;542415;15;6
7800;30416000;7000;68708818;3899;0;15208424;15208424;23712955;1949;1949;195018;93318;684766;25;11;158105;23009;597892;20;2;121892;47950;550609;15;6
7900;31201000;7000;70487593;3949;0;15612421;15612421;24345679;1976;1976;198000;95000;695892;25;12;160442;23424;606746;20;2;123441;48623;557726;15;6
8000;31996000;7000;72279604;3999;0;16001054;16001054;24957055;2000;2000;200968;96000;705678;25;12;162916;23911;614731;20;2;125242;49190;565372;15;6
8100;32800000;8000;74112221;4049;0;16408947;16408947;25593989;2025;2025;203588;97318;716192;25;12;164956;24021;623829;20;2;127054;49923;574349;15;6
8200;33615000;8000;75934339;4099;0;16814778;16814778;26221004;2050;2050;206083;99000;724263;25;12;167230;24433;630910;20;2;128730;50581;582208;15;6
8300;34440000;8000;77823575;4149;0;17231902;17231902;26877578;2076;2076;209003;100000;734130;25;12;169810;24918;640109;20;3;130592;51168;589853;15;6
8400;35275000;8000;79730274;4199;0;17646985;17646985;27528471;2100;2100;211999;101763;744052;25;12;171851;25027;648154;20;2;132229;51886;596169;15;6
8500;36120000;8000;81634400;4249;0;18069459;18069459;28184494;2125;2125;214990;103000;754310;25;12;174223;25476;657115;20;2;133962;52501;605474;15;6
8600;36975000;8000;83547671;4299;0;18498621;18498621;28851098;2151;2151;217885;104002;764303;25;12;176728;25917;665268;20;3;136003;53131;612816;15;6
8700;37840000;8000;85519193;4349;0;18932166;18932166;29530939;2176;2176;220632;105993;773049;25;12;178645;26028;673219;20;2;137616;53861;620299;15;6
8800;38715000;8000;87474091;4399;0;19369557;19369557;30203702;2201;2201;223264;107000;783489;25;12;181142;26503;681981;20;3;139433;54470;628273;15;6
8900;39600000;8000;89467333;4449;0;19816976;19816976;30911180;2226;2226;226052;108194;792425;25;12;183024;26923;689698;20;3;141088;55160;636181;15;6
9000;40495000;8000;91511904;4499;0;20261408;20261408;31606375;2251;2251;229002;110000;802708;25;12;185747;27049;699132;20;3;143151;55863;645718;15;6
9100;41400000;9000;93527674;4549;0;20713423;20713423;32303078;2276;2276;232001;111000;813998;25;12;187929;27533;707761;20;3;144581;56452;651794;15;6
9200;42315000;9000;95614809;4599;0;21169116;21169116;33016166;2300;2300;234996;112875;854276;25;12;190146;27915;716082;20;3;146419;57108;661371;15;6
9300;43240000;9000;97731142;4649;0;21623658;21623658;33727044;2325;2325;237949;114000;832466;25;12;192514;28064;724200;20;3;148077;57847;668419;15;6
9400;44175000;9000;99827060;4699;0;22097195;22097195;34459016;2350;2350;240767;115025;842192;25;12;194861;28579;732274;20;3;150111;58455;675258;15;6
9500;45120000;9000;102023754;4749;0;22570329;22570329;35200982;2375;2375;243458;117000;852853;25;12;197427;28923;741266;20;3;151836;59101;683492;15;6
9600;46075000;9000;104108363;4799;0;23045018;23045018;35933497;2400;2400;246187;118000;862883;25;12;199355;29117;748772;20;3;153686;59808;690608;16;6
9700;47040000;9000;106304791;4849;0;23527159;23527159;36697289;2425;2425;249057;119651;876897;25;12;201392;29619;757932;20;3;155251;60424;699863;16;6
9800;48015000;9000;108497736;4899;0;24017994;24017994;37458508;2450;2450;252008;121000;881432;25;12;204217;29933;765122;20;3;157046;61096;707408;16;6
9900;49000000;9000;110741245;4949;0;24525298;24525298;38245898;2477;2477;255000;122007;891424;25;12;206091;30160;774934;20;3;158820;61805;715507;16;6
10000;49995000;9000;112988413;4999;0;25008106;25008106;38997475;2500;2500;257998;123998;901978;25;12;208729;30674;783826;20;3;160722;62406;722413;16;6
