n;select - comparations;select - swaps;select - time;select - comparations/n;select - swaps/n;insert - comparations;insert - swaps;insert - time;insert - comparations/n;insert - swaps/n;heap - comparations;heap - swaps;heap - time;heap - comparations/n;heap - swaps/n;quick - comparations;quick - swaps;quick - time;quick - comparations/n;quick - swaps/n;mquick - comparations;mquick - swaps;mquick - time;mquick - comparations/n;mquick - swaps/n
100;4900;0;226865;49;0;2555;2555;116034;25;25;1203;503;58028;12;5;988;100;16862;9;1;738;414;27763;7;4
200;19900;100;81801;99;0;10091;10091;57044;50;50;2890;1300;36226;14;6;2337;300;18156;11;1;1775;936;33470;8;4
300;44800;200;115252;149;0;22671;22671;56810;75;75;4679;2179;34812;15;7;3837;516;28711;12;1;2898;1478;23648;9;4
400;79800;300;263569;199;0;40181;40181;106203;100;100;6589;3087;49983;16;7;5330;786;60371;13;1;4089;2033;75133;10;5
500;124700;400;301339;249;0;62840;62840;156070;125;125;8541;4000;54528;17;8;6922;1001;48886;13;2;5342;2584;41441;10;5
600;179700;500;426818;299;0;90376;90376;237578;150;150;10596;4988;64409;17;8;8676;1251;58353;14;2;6609;3155;55228;11;5
700;244600;600;600304;349;0;123250;123250;298461;176;176;12694;5984;80984;18;8;10319;1507;72138;14;2;7946;3733;70020;11;5
800;319600;700;765733;399;0;160907;160907;481366;201;201;14812;6992;87711;18;8;11962;1785;79393;14;2;9234;4281;76274;11;5
900;404500;800;948181;449;0;203171;203171;582381;225;225;16959;8002;95266;18;8;13865;2024;84569;15;2;10568;4858;80416;11;5
1000;499500;900;1243177;499;0;251608;251608;800576;251;251;19123;9032;140458;19;9;15640;2293;113570;15;2;12011;5453;99675;12;5
1100;604400;1000;1432938;549;0;303784;303784;956874;276;276;21355;10101;129902;19;9;17213;2578;114050;15;2;13313;6030;108754;12;5
1200;719400;1100;1594621;599;0;360160;360160;807605;300;300;23614;11193;102249;19;9;19269;2836;93852;16;2;14763;6623;84416;12;5
1300;844300;1200;1854933;649;0;423243;423243;916628;325;325;25903;12285;108270;19;9;21146;3113;99995;16;2;16159;7235;89916;12;5
1400;979300;1300;2149409;699;0;491282;491282;1065410;350;350;28210;13388;117411;20;9;22819;3390;108097;16;2;17628;7826;97282;12;5
1500;1124200;1400;2469524;749;0;563965;563965;1223394;375;375;30531;14493;127596;20;9;24934;3663;116184;16;2;19122;8423;105568;12;5
1600;1279200;1500;2806689;799;0;642006;642006;1390591;401;401;32876;15611;136448;20;9;26750;3951;125000;16;2;20591;9014;115066;12;5
1700;1444100;1600;3172516;849;0;723674;723674;1561751;425;425;35209;16726;146363;20;9;28516;4245;133637;16;2;22011;9627;122635;12;5
1800;1619100;1700;3554236;899;0;813115;813115;1751182;451;451;37555;17855;155561;20;9;30432;4524;141156;16;2;23406;10222;130666;13;5
1900;1804000;1800;3963780;949;0;905150;905150;1945402;476;476;39913;18983;165645;21;9;32446;4811;150071;17;2;24936;10810;138497;13;5
2000;1999000;1900;4396751;999;0;998719;998719;2149615;499;499;42269;20104;176036;21;10;34282;5098;158606;17;2;26306;11438;146549;13;5
2100;2203900;2000;4844726;1049;0;1102666;1102666;2396899;525;525;44676;21267;187449;21;10;36289;5384;168197;17;2;28025;12039;155757;13;5
2200;2418900;2100;5313719;1099;0;1210717;1210717;2599453;550;550;47111;22426;195283;21;10;38450;5680;176886;17;2;29448;12635;163205;13;5
2300;2643800;2200;5812817;1149;0;1326708;1326708;2851672;576;576;49606;23627;206276;21;10;40405;5974;185349;17;2;30994;13290;171197;13;5
2400;2878800;2300;6316016;1199;0;1441281;1441281;3092828;600;600;52073;24811;215452;21;10;42304;6278;193083;17;2;32498;13869;182691;13;5
2500;3123700;2400;6863908;1249;0;1562152;1562152;3336412;624;624;54549;26000;226865;21;10;44289;6568;202175;17;2;34002;14504;187582;13;5
