insert_time;insert_comparations;insert_modifications;search_time;search_comparations;search_modifications;delete_time;delete_comparations;delete_modifications
137,331301621;12628705658;1704605;0,304613264;51918408;0;0,279724514;38639751;4343619;
170,752491684;12628705658;1704605;0,319146745;51918408;0;0,281867015;38639751;4343619;
232,005455285;12628705658;1704605;0,506167111;51918408;0;0,282828112;38639751;4343619;
302,428130733;12628705658;1704605;0,485589399;51918408;0;0,271248431;38639751;4343619;
256,522418278;12628705658;1704605;0,495686036;51918408;0;0,270722973;38639751;4343619;
228,320661387;12628705658;1704605;0,359719658;51918408;0;0,488675442;38639751;4343619;
336,523860362;12628705658;1704605;0,508349985;51918408;0;0,274616512;38639751;4343619;
431,458356275;12628705658;1704605;0,343157196;51918408;0;0,39222755;38639751;4343619;
275,274194624;12628705658;1704605;0,276770423;51918408;0;0,329300433;38639751;4343619;
313,209226237;12628705658;1704605;0,274399132;51918408;0;0,352574188;38639751;4343619;
