n;select - comparations;select - swaps;select - time;select - comparations/n;select - swaps/n;insert - comparations;insert - swaps;insert - time;insert - comparations/n;insert - swaps/n;heap - comparations;heap - swaps;heap - time;heap - comparations/n;heap - swaps/n;quick - comparations;quick - swaps;quick - time;quick - comparations/n;quick - swaps/n;mquick - comparations;mquick - swaps;mquick - time;mquick - comparations/n;mquick - swaps/n
100;4950;90;196808;49;0;2567;2567;127646;25;25;1260;578;30307;12;5;1076;152;29429;10;1;768;459;411555;7;4
200;19900;190;190196;99;0;10069;10069;119014;50;50;2917;1356;23371;14;6;2440;357;20652;12;1;1815;977;33407;9;4
300;44850;290;266412;149;0;22438;22438;172174;74;74;4711;2203;35456;15;7;3894;579;33904;12;1;3009;1532;30628;10;5
400;79800;390;258628;199;0;39952;39952;176562;99;99;6635;3114;54619;16;7;5420;824;33086;13;2;4121;2055;39347;10;5
500;124750;490;302310;249;0;62971;62971;125246;125;125;8583;4039;63073;17;8;6954;1055;662145;13;2;5298;2655;51431;10;5
600;179700;589;478934;299;0;90178;90178;142157;150;150;10635;5016;74280;17;8;8641;1308;35222;14;2;6548;3227;46106;10;5
700;244650;690;894211;349;0;122207;122207;228260;174;174;12723;6008;87970;18;8;10507;1558;104707;15;2;8069;3788;103040;11;5
800;319600;789;963083;399;0;162431;162431;291805;203;203;14856;7025;102894;18;8;12098;1809;50757;15;2;9154;4330;40546;11;5
900;404550;890;1071918;449;0;202612;202612;344675;225;225;16996;8046;122319;18;8;14114;2063;70828;15;2;10573;4933;51576;11;5
1000;499500;989;1348166;499;0;250798;250798;571798;250;250;19172;9084;216382;19;9;15781;2360;116614;15;2;11997;5512;51108;11;5
1100;604450;1089;1428064;549;0;300033;300033;502312;272;272;21403;10150;88090;19;9;17503;2598;72905;15;2;13512;6067;68604;12;5
1200;719400;1190;1723271;599;0;354644;354644;598188;295;295;23625;11210;92770;19;9;19285;2873;80190;16;2;15003;6675;70563;12;5
1300;844350;1289;2238578;649;0;421539;421539;810301;324;324;25955;12325;102161;19;9;21122;3175;91188;16;2;16281;7322;79837;12;5
1400;979300;1388;3385049;699;0;493560;493560;1085552;352;352;28293;13445;396430;20;9;23142;3431;601055;16;2;17707;7900;88409;12;5
1500;1124250;1490;5806225;749;0;563978;563978;4070982;375;375;30578;14536;119568;20;9;24804;3724;134111;16;2;19172;8478;95842;12;5
1600;1279200;1587;2931679;799;0;637406;637406;1093775;398;398;32886;15641;131390;20;9;26935;3994;107983;16;2;20343;9111;96280;12;5
1700;1444150;1688;3637568;849;0;722413;722413;1123588;424;424;35279;16786;133788;20;9;28617;4251;114039;16;2;22342;9610;112226;13;5
1800;1619100;1789;3624197;899;0;816005;816005;1326075;453;453;37584;17889;147452;20;9;30730;4568;122319;17;2;23373;10275;112518;12;5
1900;1804050;1888;4379119;949;0;907023;907023;1425842;477;477;39976;19034;146398;21;10;32077;4852;129692;16;2;25001;10880;117170;13;5
2000;1999000;1987;4686145;999;0;1008258;1008258;1809287;504;504;42322;20159;164420;21;10;34925;5143;153567;17;2;26670;11472;149295;13;5
2100;2203950;2087;5166956;1049;0;1109039;1109039;1770814;528;528;44735;21315;164245;21;10;37099;5417;146839;17;2;28076;12118;178903;13;5
2200;2418900;2190;6788915;1099;0;1213672;1213672;3855622;551;551;47224;22510;221969;21;10;37707;5750;153596;17;2;29591;12706;274106;13;5
2300;2643850;2288;12068632;1149;0;1329730;1329730;2493350;578;578;49664;23681;257459;21;10;39479;6036;174955;17;2;30577;13293;169130;13;5
2400;2878800;2388;7829387;1199;0;1442386;1442386;2424010;600;600;52120;24856;468725;21;10;42188;6333;370392;17;2;32842;13967;158013;13;5
2500;3123750;2489;7061502;1249;0;1555644;1555644;2447092;622;622;54611;26053;198243;21;10;45224;6590;172672;18;2;34441;14518;161028;13;5
2600;3378700;2586;7610396;1299;0;1693918;1693918;2635100;651;651;57119;27257;205702;21;10;45629;6936;181390;17;2;35432;15259;168546;13;5
2700;3643650;2688;8229214;1349;0;1834203;1834203;2864624;679;679;59608;28450;213719;22;10;47564;7242;188851;17;2;37313;15818;175714;13;5
2800;3918600;2788;8852568;1399;0;1957966;1957966;3051166;699;699;62095;29645;222612;22;10;49754;7523;198888;17;2;39709;16281;181391;14;5
2900;4203550;2889;9505500;1449;0;2118889;2118889;3368284;730;730;64644;30870;232883;22;10;53334;7768;202952;18;2;40233;17010;190344;13;5
3000;4498500;2985;10187717;1499;0;2245012;2245012;3558135;748;748;67138;32066;241222;22;10;54532;8111;211379;18;2;41724;17656;198445;13;5
3100;4803450;3088;10818678;1549;0;2403839;2403839;3757464;775;775;69662;33278;248477;22;10;57610;8374;217406;18;2;43628;18227;369074;14;5
3200;5118400;3187;11719447;1599;0;2546607;2546607;3966242;795;795;72238;34516;262783;22;10;57383;8718;233790;17;2;45014;18818;211350;14;5
3300;5443350;3285;12321767;1649;0;2725704;2725704;4256559;825;825;74792;35744;270127;22;10;61624;9001;232940;18;2;46800;19450;212022;14;5
3400;5778300;3388;13151850;1699;0;2900821;2900821;4546498;853;853;77305;36948;279959;22;10;62032;9422;245815;18;2;48005;20188;224047;14;5
3500;6123250;3488;14025700;1749;0;3062688;3062688;4812359;875;875;79853;38174;285457;22;10;63483;9715;250613;18;2;49580;20649;228231;14;5
3600;6478200;3587;14628137;1799;0;3247131;3247131;5059465;901;901;82427;39411;295523;22;10;67067;9985;256083;18;2;51273;21401;238735;14;5
3700;6843150;3687;15458307;1849;0;3420336;3420336;5374888;924;924;84902;40599;303714;22;10;68559;10311;268870;18;2;53012;22203;250029;14;6
3800;7218100;3784;16338773;1899;0;3620217;3620217;5647037;952;952;87555;41875;313078;23;11;72576;10576;277822;19;2;54457;22678;250144;14;5
3900;7603050;3885;17151039;1949;0;3817862;3817862;5982938;978;978;90080;43088;328846;23;11;74430;10859;276710;19;2;56832;23333;254592;14;5
4000;7998000;3986;18059151;1999;0;3999916;3999916;6244030;999;999;92620;44308;333879;23;11;76038;11172;288734;19;2;58595;23814;262666;14;5
