n;select - comparations;select - swaps;select - time;select - comparations/n;select - swaps/n;insert - comparations;insert - swaps;insert - time;insert - comparations/n;insert - swaps/n;heap - comparations;heap - swaps;heap - time;heap - comparations/n;heap - swaps/n;quick - comparations;quick - swaps;quick - time;quick - comparations/n;quick - swaps/n;mquick - comparations;mquick - swaps;mquick - time;mquick - comparations/n;mquick - swaps/n
100;4950;32;0.000022;49;0;281;281;0.000003;2;2;1148;524;0.000013;11;5;1294;217;0.000280;12;2;544;260;0.000041;5;2
200;19900;75;0.000083;99;0;962;962;0.000007;4;4;2486;1143;0.000028;12;5;2766;540;0.000547;13;2;1313;615;0.000082;6;3
300;44850;122;0.000166;149;0;1964;1964;0.000012;6;6;4007;1853;0.000042;13;6;4297;882;0.000774;14;2;2079;966;0.000106;6;3
400;79800;129;0.000296;199;0;3090;3090;0.000017;7;7;5453;2526;0.000057;13;6;5999;1275;0.001027;14;3;2990;1418;0.000159;7;3
500;124750;147;0.000457;249;0;4578;4578;0.000026;9;9;6607;3053;0.000068;13;6;7362;1712;0.001277;14;3;3850;1843;0.000189;7;3
600;179700;160;0.000647;299;0;6415;6415;0.000034;10;10;8023;3711;0.000082;13;6;8818;2175;0.001532;14;3;4669;2262;0.000202;7;3
700;244650;191;0.000880;349;0;8506;8506;0.000045;12;12;9757;4528;0.000100;13;6;10586;2624;0.001787;15;3;5497;2643;0.000224;7;3
800;319600;209;0.001141;399;0;10915;10915;0.000058;13;13;11119;5159;0.000114;13;6;11816;3032;0.002048;14;3;6843;3289;0.000343;8;4
900;404550;235;0.001447;449;0;13619;13619;0.000072;15;15;12570;5835;0.000128;13;6;13652;3468;0.002310;15;3;7793;3708;0.000363;8;4
1000;499500;260;0.001782;499;0;16612;16612;0.000086;16;16;14097;6548;0.000144;14;6;15623;3938;0.002572;15;3;8686;4151;0.000383;8;4
1100;604450;286;0.002168;549;0;20163;20163;0.000106;18;18;15767;7333;0.000161;14;6;17137;4405;0.002819;15;4;9570;4550;0.000397;8;4
1200;719400;310;0.002561;599;0;23686;23686;0.000123;19;19;17465;8132;0.000177;14;6;18718;4915;0.003083;15;4;10476;4975;0.000414;8;4
