n;select - comparations;select - swaps;select - time;select - comparations/n;select - swaps/n;insert - comparations;insert - swaps;insert - time;insert - comparations/n;insert - swaps/n;heap - comparations;heap - swaps;heap - time;heap - comparations/n;heap - swaps/n;quick - comparations;quick - swaps;quick - time;quick - comparations/n;quick - swaps/n;mquick - comparations;mquick - swaps;mquick - time;mquick - comparations/n;mquick - swaps/n
1300;844350;332;0.003010;649;0;27443;27443;0.000141;21;21;19287;8993;0.000194;14;6;20975;5441;0.003345;16;4;11353;5384;0.000429;8;4
1400;979300;355;0.003500;699;0;32089;32089;0.000164;22;22;20935;9767;0.000213;14;6;21982;5979;0.003602;15;4;12230;5796;0.000446;8;4
1500;1124250;377;0.004020;749;0;36338;36338;0.000186;24;24;22487;10493;0.000229;14;6;23860;6393;0.003855;15;4;13702;6458;0.000562;9;4
1600;1279200;409;0.004552;799;0;41436;41436;0.000212;25;25;24285;11342;0.000250;15;7;26003;6832;0.004117;16;4;15179;7159;0.000697;9;4
1700;1444150;428;0.005137;849;0;46780;46780;0.000241;27;27;25662;11981;0.000259;15;7;26950;7341;0.004381;15;4;16261;7668;0.000718;9;4
1800;1619100;455;0.005754;899;0;52105;52105;0.000265;28;28;27232;12716;0.000275;15;7;28757;7806;0.004637;15;4;17241;8095;0.000743;9;4
1900;1804050;479;0.006409;949;0;57758;57758;0.000296;30;30;28877;13488;0.000292;15;7;30972;8326;0.004906;16;4;18254;8564;0.000756;9;4
2000;1999000;503;0.007099;999;0;64000;64000;0.000325;32;32;30363;14181;0.000306;15;7;32252;8862;0.005149;16;4;19205;8962;0.000776;9;4
2100;2203950;524;0.007840;1049;0;70393;70393;0.000359;33;33;31987;14943;0.000324;15;7;34441;9416;0.005488;16;4;20227;9433;0.000786;9;4
2200;2418900;549;0.008574;1099;0;76831;76831;0.000389;34;34;33907;15853;0.000340;15;7;36591;9905;0.005666;16;4;21151;9870;0.000798;9;4
2300;2643850;575;0.009358;1149;0;84297;84297;0.000426;36;36;35822;16761;0.000360;15;7;37304;10434;0.005918;16;4;22126;10291;0.000809;9;4
2400;2878800;598;0.010276;1199;0;91505;91505;0.000464;38;38;37663;17631;0.000378;15;7;39661;11034;0.006184;16;4;23090;10771;0.000829;9;4
2500;3123750;626;0.011154;1249;0;99264;99264;0.000506;39;39;39661;18580;0.000401;15;7;41878;11565;0.006470;16;4;24145;11190;0.000850;9;4
2600;3378700;646;0.011995;1299;0;107324;107324;0.000542;41;41;41503;19451;0.000417;15;7;43288;12167;0.006734;16;4;25072;11642;0.000866;9;4
2700;3643650;673;0.012934;1349;0;115294;115294;0.000581;42;42;43553;20426;0.000436;16;7;46114;12790;0.006949;17;4;26031;12049;0.000878;9;4
2800;3918600;697;0.013875;1399;0;124276;124276;0.000628;44;44;45291;21245;0.000455;16;7;47330;13339;0.007214;16;4;27049;12494;0.000896;9;4
2900;4203550;723;0.014894;1449;0;133167;133167;0.000671;45;45;47031;22065;0.000473;16;7;48903;13775;0.007467;16;4;28069;12945;0.000905;9;4
3000;4498500;744;0.015999;1499;0;142314;142314;0.000718;47;47;48685;22842;0.000490;16;7;50421;14251;0.007778;16;4;29953;13878;0.001122;9;4
3100;4803450;771;0.017081;1549;0;152271;152271;0.000774;49;49;50410;23655;0.000507;16;7;52617;14774;0.008030;16;4;32459;15044;0.001402;10;4
3200;5118400;793;0.018568;1599;0;162162;162162;0.000818;50;50;52199;24499;0.000524;16;7;54154;15247;0.008497;16;4;33525;15502;0.001480;10;4
3300;5443350;821;0.019334;1649;0;173050;173050;0.000879;52;52;53945;25322;0.000542;16;7;56244;15769;0.008531;17;4;34487;15958;0.001445;10;4
3400;5778300;843;0.020571;1699;0;182012;182012;0.000928;53;53;55550;26075;0.000567;16;7;57479;16340;0.008814;16;4;35603;16453;0.001468;10;4
3500;6123250;868;0.021890;1749;0;193333;193333;0.000991;55;55;57330;26915;0.000577;16;7;60175;16858;0.009113;17;4;36723;16921;0.001487;10;4
3600;6478200;893;0.023086;1799;0;204429;204429;0.001041;56;56;58945;27672;0.000599;16;7;62028;17387;0.009340;17;4;37745;17379;0.001505;10;4
3700;6843150;917;0.024388;1849;0;215610;215610;0.001094;58;58;60717;28508;0.000615;16;7;64494;17931;0.009562;17;4;38677;17883;0.001514;10;4
3800;7218100;941;0.025620;1899;0;227099;227099;0.001149;59;59;62444;29322;0.000625;16;7;65999;18525;0.009827;17;4;39954;18408;0.001521;10;4
3900;7603050;967;0.026979;1949;0;239014;239014;0.001203;61;61;64195;30147;0.000642;16;7;67902;19074;0.010085;17;4;40887;18810;0.001543;10;4
4000;7998000;992;0.028392;1999;0;250610;250610;0.001262;62;62;65858;30929;0.000660;16;7;69251;19681;0.010335;17;4;41967;19270;0.001570;10;4
4100;8402950;1016;0.029887;2049;0;264137;264137;0.001341;64;64;67672;31786;0.000686;16;7;71074;20335;0.010674;17;4;43029;19789;0.001575;10;4
4200;8817900;1042;0.031359;2099;0;277360;277360;0.001401;66;66;69437;32618;0.000696;16;7;73670;20880;0.010854;17;4;44194;20238;0.001593;10;4
4300;9242850;1065;0.032810;2149;0;291689;291689;0.001475;67;67;71496;33598;0.000719;16;7;74787;21418;0.011238;17;4;45162;20695;0.001616;10;4
4400;9677800;1091;0.034339;2199;0;303558;303558;0.001532;68;68;73518;34559;0.000739;16;7;76782;21957;0.011373;17;4;46180;21165;0.001609;10;4
4500;10122750;1114;0.035944;2249;0;317932;317932;0.001613;70;70;75522;35511;0.000766;16;7;79419;22555;0.011650;17;5;47294;21665;0.001643;10;4
4600;10577700;1140;0.037486;2299;0;330835;330835;0.001659;71;71;77524;36462;0.000778;16;7;80576;23116;0.011906;17;5;48392;22105;0.001638;10;4
4700;11042650;1165;0.039227;2349;0;347014;347014;0.001754;73;73;79587;37443;0.000803;16;7;83187;23728;0.012211;17;5;49494;22579;0.001668;10;4
4800;11517600;1190;0.040852;2399;0;361736;361736;0.001819;75;75;81629;38414;0.000815;17;8;84954;24390;0.012404;17;5;50589;23091;0.001675;10;4
4900;12002550;1214;0.042704;2449;0;376617;376617;0.001930;76;76;83647;39373;0.000848;17;8;87337;24974;0.012726;17;5;51595;23540;0.001706;10;4
5000;12497500;1239;0.044324;2499;0;392931;392931;0.001975;78;78;85822;40411;0.000859;17;8;89217;25591;0.012938;17;5;52608;24002;0.001709;10;4
5100;13002450;1264;0.046143;2549;0;405575;405575;0.002044;79;79;87749;41324;0.000877;17;8;91953;26219;0.013282;18;5;53673;24491;0.001718;10;4
5200;13517400;1288;0.048134;2599;0;423023;423023;0.002120;81;81;89794;42297;0.000888;17;8;91900;26877;0.013508;17;5;54708;24990;0.001725;10;4
5300;14042350;1312;0.049957;2649;0;440933;440933;0.002222;83;83;91928;43314;0.000926;17;8;94042;27540;0.013764;17;5;55637;25426;0.001749;10;4
5400;14577300;1337;0.051779;2699;0;457050;457050;0.002300;84;84;94118;44359;0.000944;17;8;96481;28223;0.014019;17;5;56725;25882;0.001772;10;4
5500;15122250;1362;0.053579;2749;0;472221;472221;0.002385;85;85;96072;45286;0.000968;17;8;98964;28967;0.014252;17;5;58088;26432;0.001775;10;4
5600;15677200;1385;0.055765;2799;0;492068;492068;0.002481;87;87;97825;46112;0.000978;17;8;100325;29433;0.014540;17;5;59058;26852;0.001799;10;4
5700;16242150;1412;0.057505;2849;0;507945;507945;0.002551;89;89;99751;47025;0.000998;17;8;101933;29904;0.014768;17;5;60028;27323;0.001806;10;4
5800;16817100;1437;0.059726;2899;0;526403;526403;0.002653;90;90;101632;47916;0.001021;17;8;105327;30384;0.015110;18;5;61042;27789;0.001826;10;4
5900;17402050;1460;0.061921;2949;0;545572;545572;0.002756;92;92;103471;48785;0.001034;17;8;106951;30902;0.015357;18;5;62966;28589;0.001969;10;4
6000;17997000;1486;0.063994;2999;0;562642;562642;0.002819;93;93;105360;49680;0.001054;17;8;109265;31414;0.015577;18;5;65373;29765;0.002254;10;4
6100;18601950;1510;0.066014;3049;0;580677;580677;0.002927;95;95;107148;50524;0.001068;17;8;110200;31962;0.015815;18;5;67926;30998;0.002539;11;5
6200;19216900;1536;0.068123;3099;0;600951;600951;0.003024;96;96;108934;51367;0.001088;17;8;111919;32576;0.016064;18;5;70585;32252;0.002840;11;5
6300;19841850;1559;0.070299;3149;0;620116;620116;0.003110;98;98;110805;52252;0.001105;17;8;114089;33062;0.016313;18;5;71751;32705;0.002867;11;5
6400;20476800;1585;0.072696;3199;0;640322;640322;0.003235;100;100;112753;53176;0.001132;17;8;114971;33600;0.016653;17;5;72596;33178;0.002890;11;5
6500;21121750;1610;0.074440;3249;0;659037;659037;0.003286;101;101;114531;54015;0.001138;17;8;117026;34161;0.016900;18;5;73929;33683;0.002891;11;5
6600;-21172972;1633;0.077229;-3208;0;679100;679100;0.003397;102;102;116362;54881;0.001160;17;8;121028;34751;0.017105;18;5;75115;34180;0.002910;11;5
6700;-20508022;1659;0.079316;-3060;0;701427;701427;0.003567;104;104;118200;55750;0.001174;17;8;121996;35345;0.017286;18;5;76353;34707;0.002928;11;5
6800;-19833072;1682;0.081532;-2916;0;719027;719027;0.003607;105;105;119909;56554;0.001193;17;8;122992;35986;0.017535;18;5;77435;35266;0.002930;11;5
6900;-19148122;1708;0.084077;-2775;0;743337;743337;0.003718;107;107;121956;57528;0.001217;17;8;128026;36653;0.017832;18;5;78922;35831;0.002948;11;5
7000;-18453172;1734;0.086346;-2636;0;765249;765249;0.003827;109;109;123799;58399;0.001236;17;8;126662;37133;0.018064;18;5;79512;36260;0.002967;11;5
7100;-17748222;1757;0.089034;-2499;0;787668;787668;0.003955;110;110;125513;59206;0.001253;17;8;130784;37686;0.018398;18;5;80850;36738;0.002985;11;5
7200;-17033272;1783;0.091726;-2365;0;808678;808678;0.004048;112;112;127470;60135;0.001267;17;8;131273;38265;0.018580;18;5;81748;37224;0.002992;11;5
7300;-16308322;1807;0.094002;-2234;0;833503;833503;0.004171;114;114;129303;61001;0.001295;17;8;131691;38856;0.018827;18;5;82849;37719;0.003003;11;5
7400;-15573372;1832;0.096594;-2104;0;854608;854608;0.004280;115;115;131184;61892;0.001304;17;8;137621;39461;0.019113;18;5;84323;38268;0.003033;11;5
7500;-14828422;1856;0.099220;-1977;0;877241;877241;0.004412;116;116;133070;62785;0.001330;17;8;135311;40091;0.019341;18;5;85643;38813;0.003052;11;5
7600;-14073472;1882;0.101915;-1851;0;900381;900381;0.004530;118;118;134886;63643;0.001348;17;8;138381;40753;0.019620;18;5;86718;39383;0.003043;11;5
7700;-13308522;1906;0.104866;-1728;0;925840;925840;0.004661;120;120;136754;64527;0.001357;17;8;144419;41328;0.020000;18;5;87757;39812;0.003077;11;5
7800;-12533572;1931;0.107449;-1606;0;947234;947234;0.004814;121;121;138672;65436;0.001374;17;8;142755;41945;0.020363;18;5;88976;40249;0.003095;11;5
7900;-11748622;1955;0.110241;-1487;0;973216;973216;0.004924;123;123;140515;66307;0.001393;17;8;146439;42628;0.020498;18;5;89857;40783;0.003096;11;5
8000;-10953672;1979;0.112767;-1369;0;996945;996945;0.005047;124;124;142277;67138;0.001413;17;8;146095;43270;0.020621;18;5;91177;41267;0.003123;11;5
8100;-10148722;2005;0.116154;-1252;0;1023119;1023119;0.005180;126;126;144215;68057;0.001434;17;8;149260;43962;0.020957;18;5;92452;41813;0.003153;11;5
8200;-9333772;2030;0.118424;-1138;0;1047975;1047975;0.005298;127;127;146129;68964;0.001453;17;8;152702;44664;0.021155;18;5;93431;42365;0.003155;11;5
8300;-8508822;2053;0.121474;-1025;0;1076774;1076774;0.005486;129;129;147872;69786;0.001476;17;8;156174;45348;0.021443;18;5;94890;42890;0.003158;11;5
8400;-7673872;2080;0.124360;-913;0;1097779;1097779;0.005559;130;130;150011;70805;0.001484;17;8;155930;45869;0.021679;18;5;95756;43346;0.003179;11;5
8500;-6828922;2103;0.127756;-803;0;1126112;1126112;0.005760;132;132;152205;71852;0.001501;17;8;156902;46419;0.022028;18;5;96730;43803;0.003196;11;5
8600;-5973972;2129;0.130339;-694;0;1148827;1148827;0.005809;133;133;154379;72889;0.001533;17;8;160437;47026;0.022210;18;5;98260;44335;0.003218;11;5
8700;-5109022;2154;0.133503;-587;0;1179811;1179811;0.005974;135;135;156502;73901;0.001548;17;8;162964;47591;0.022427;18;5;99240;44805;0.003252;11;5
8800;-4234072;2178;0.136402;-481;0;1205017;1205017;0.006061;136;136;158702;74951;0.001581;18;8;163945;48223;0.022682;18;5;100336;45363;0.003236;11;5
8900;-3349122;2203;0.140015;-376;0;1233333;1233333;0.006215;138;138;160858;75979;0.001608;18;8;166342;48867;0.022991;18;5;101637;45905;0.003267;11;5
9000;-2454172;2229;0.142936;-272;0;1260443;1260443;0.006327;140;140;163096;77048;0.001649;18;8;165466;49496;0.023232;18;5;102752;46423;0.003257;11;5
9100;-1549222;2252;0.146032;-170;0;1289196;1289196;0.006444;141;141;165269;78084;0.001643;18;8;170332;50090;0.023479;18;5;104051;46839;0.003291;11;5
9200;-634272;2278;0.149406;-68;0;1319973;1319973;0.006590;143;143;167324;79062;0.001658;18;8;172222;50715;0.023785;18;5;104804;47347;0.003311;11;5
9300;290677;2302;0.152813;31;0;1346469;1346469;0.006737;144;144;169453;80076;0.001679;18;8;174386;51419;0.024054;18;5;105965;47870;0.003339;11;5
9400;1225627;2326;0.155918;130;0;1373998;1373998;0.006865;146;146;171719;81159;0.001707;18;8;179075;52066;0.024292;19;5;107166;48374;0.003343;11;5
9500;2170577;2350;0.159222;228;0;1406749;1406749;0.007015;148;148;173901;82200;0.001718;18;8;180050;52744;0.024551;18;5;108635;48899;0.003380;11;5
9600;3125527;2376;0.162700;325;0;1439220;1439220;0.007166;149;149;176155;83277;0.001741;18;8;184437;53478;0.024846;19;5;109853;49459;0.003381;11;5
9700;4090477;2400;0.165949;421;0;1465463;1465463;0.007306;151;151;178286;84293;0.001762;18;8;181424;54150;0.025073;18;5;110635;49968;0.003391;11;5
9800;5065427;2424;0.169591;516;0;1495105;1495105;0.007463;152;152;180458;85329;0.001798;18;8;188166;54757;0.025341;19;5;112076;50399;0.003397;11;5
9900;6050377;2450;0.173228;611;0;1527503;1527503;0.007642;154;154;182725;86412;0.001805;18;8;187399;55379;0.025636;18;5;112996;50918;0.003436;11;5
10000;7045327;2476;0.176364;704;0;1553619;1553619;0.007755;155;155;184915;87457;0.001834;18;8;188483;56073;0.025836;18;5;114057;51423;0.003424;11;5
